DEPP;CODCOMP;COMP;DEP;CODCOM;COM;PMUN;PCAP;PTOT
36;244;Villentrois-Faverolles-en-Berry;36;244;Villentrois;577;3;580
36;202;Saint-Maur;36;245;Villers-les-Ormes;458;10;468
37;021;Beaumont-Louestault;37;021;Beaumont-la-Ronce;1378;24;1402
37;123;Langeais;37;102;Les Essards;144;1;145
37;232;Coteaux-sur-Loire;37;120;Ingrandes-de-Touraine;538;10;548
37;021;Beaumont-Louestault;37;135;Louestault;364;7;371
37;254;Tauxigny-Saint-Bauld;37;209;Saint-Bauld;176;3;179
37;232;Coteaux-sur-Loire;37;227;Saint-Michel-sur-Loire;703;16;719
37;232;Coteaux-sur-Loire;37;232;Saint-Patrice;646;13;659
38;001;Les Abrets en Dauphiné;38;001;Les Abrets;3541;47;3588
38;297;Arandon-Passins;38;014;Arandon;695;10;705
38;479;Porte-des-Bonnevaux;38;016;Arzay;230;3;233
38;225;Autrans-Méaudre en Vercors;38;021;Autrans;1578;42;1620
38;022;Les Avenières Veyrins-Thuellin;38;022;Les Avenières;5651;107;5758
38;284;Ornacieux-Balbins;38;025;Balbins;449;11;460
38;001;Les Abrets en Dauphiné;38;028;La Bâtie-Divisin;942;19;961
38;073;Chantepérier;38;073;Chantelouve;64;2;66
38;479;Porte-des-Bonnevaux;38;121;Commelle;945;27;972
38;456;Châtel-en-Trièves;38;125;Cordéac;223;4;227
38;359;Saint Antoine l'Abbaye;38;145;Dionay;119;2;121
38;163;Le Haut-Bréda;38;163;La Ferrière;231;7;238
38;001;Les Abrets en Dauphiné;38;165;Fitilieu;1956;39;1995
38;225;Autrans-Méaudre en Vercors;38;225;Méaudre;1490;62;1552
38;253;Les Deux Alpes;38;253;Mont-de-Lans;1112;22;1134
38;439;Crêts en Belledonne;38;262;Morêtel-de-Mailles;481;5;486
38;479;Porte-des-Bonnevaux;38;274;Nantoin;503;10;513
38;284;Ornacieux-Balbins;38;284;Ornacieux;410;11;421
38;292;Villages du Lac de Paladru;38;292;Paladru;1255;31;1286
38;297;Arandon-Passins;38;297;Passins;1178;33;1211
38;073;Chantepérier;38;302;Le Périer;136;1;137
38;292;Villages du Lac de Paladru;38;305;Le Pin;1271;27;1298
38;163;Le Haut-Bréda;38;306;Pinsot;180;2;182
38;395;Plateau-des-Petites-Roches;38;367;Saint-Bernard;681;24;705
38;395;Plateau-des-Petites-Roches;38;395;Saint-Hilaire;1268;38;1306
38;395;Plateau-des-Petites-Roches;38;435;Saint-Pancrasse;448;11;459
38;456;Châtel-en-Trièves;38;456;Saint-Sébastien;268;6;274
38;479;Porte-des-Bonnevaux;38;479;Semons;368;16;384
38;253;Les Deux Alpes;38;534;Vénosc;830;15;845
38;022;Les Avenières Veyrins-Thuellin;38;541;Veyrins-Thuellin;2126;54;2180
39;385;Neublans-Abergement;39;005;Abergement-Saint-Jean;84;0;84
25;527;Saint-Vit;39;012;Antorpe;802;14;816
39;018;Aromas;39;018;Aromas;550;7;557
39;022;Asnans-Beauvoisin;39;044;Beauvoisin;206;7;213
39;576;Val-Sonnette;39;064;Bonnaud;59;0;59
39;199;Domblans;39;075;Bréry;213;7;220
39;258;Grande-Rivière Château;39;115;Château-des-Prés;199;1;200
39;491;Coteaux du Lizon;39;186;Cuttura;307;10;317
39;190;Dampierre;39;190;Dampierre;1185;28;1213
39;273;Montlainsia;39;195;Dessia;75;2;77
39;329;Mièges;39;213;Esserval-Combe;24;0;24
39;577;Vincent-Froideville;39;243;Froideville;64;2;66
39;198;Dole;39;256;Goux;307;11;318
39;258;Grande-Rivière Château;39;258;Grande-Rivière;433;13;446
39;576;Val-Sonnette;39;264;Grusse;179;7;186
39;273;Montlainsia;39;273;Lains;64;1;65
39;286;Lavans-lès-Saint-Claude;39;286;Lavans-lès-Saint-Claude;1772;82;1854
39;368;Hauts de Bienne;39;294;Lézat;183;7;190
39;329;Mièges;39;329;Mièges;118;2;120
39;329;Mièges;39;340;Molpré;28;0;28
39;273;Montlainsia;39;347;Montagna-le-Templier;93;1;94
39;368;Hauts de Bienne;39;368;Morez;4737;256;4993
