"ANNEE";"AGE";"SEXE";"POP"
"2016";50;"F";4618
"2016";51;"M";4764
"2016";51;"F";4474
"2016";52;"M";4542
"2016";52;"F";4534
"2016";53;"M";4451
"2016";53;"F";4326
"2016";54;"M";4133
"2016";54;"F";4196
"2016";55;"M";4163
"2016";55;"F";4201
"2016";56;"M";3980
"2016";56;"F";4184
"2016";57;"M";4045
"2016";57;"F";4061
"2016";58;"M";3829
"2016";58;"F";4031
"2016";59;"M";3714
"2016";59;"F";4083
"2016";60;"M";3789
"2016";60;"F";3745
"2016";61;"M";3651
"2016";61;"F";3875
"2016";62;"M";3633
"2016";62;"F";3779
"2016";63;"M";3718
"2016";63;"F";3558
"2016";64;"M";3631
"2016";64;"F";3764
"2016";65;"M";3474
"2016";65;"F";3728
"2016";66;"M";3368
"2016";66;"F";3657
"2016";67;"M";3395
"2016";67;"F";3680
"2016";68;"M";3235
"2016";68;"F";3419
"2016";69;"M";2968
"2016";69;"F";3057
"2016";70;"M";2746
"2016";70;"F";2957
"2016";71;"M";2511
"2016";71;"F";2558
"2016";72;"M";2145
"2016";72;"F";2457
"2016";73;"M";2140
"2016";73;"F";2285
"2016";74;"M";2010
"2016";74;"F";2164
"2016";75;"M";1805
"2016";75;"F";2010
"2016";76;"M";1688
"2016";76;"F";2023
"2016";77;"M";1612
"2016";77;"F";1975
"2016";78;"M";1622
"2016";78;"F";1985
"2016";79;"M";1432
"2016";79;"F";1946
"2016";80;"M";1448
"2016";80;"F";1878
"2016";81;"M";1355
"2016";81;"F";1857
"2016";82;"M";1170
"2016";82;"F";1829
"2016";83;"M";1199
"2016";83;"F";1733
"2016";84;"M";1086
"2016";84;"F";1725
"2016";85;"M";964
"2016";85;"F";1641
"2016";86;"M";817
"2016";86;"F";1486
"2016";87;"M";762
"2016";87;"F";1379
"2016";88;"M";629
"2016";88;"F";1173
"2016";89;"M";543
"2016";89;"F";1109
"2016";90;"M";611
"2016";90;"F";978
"2016";91;"M";350
"2016";91;"F";897
"2016";92;"M";277
"2016";92;"F";766
"2016";93;"M";246
"2016";93;"F";583
"2016";94;"M";144
"2016";94;"F";483
"2016";95;"M";94
"2016";95;"F";358
"2016";96;"M";61
"2016";96;"F";253
"2016";97;"M";35
"2016";97;"F";155
"2016";98;"M";19
"2016";98;"F";90
"2016";99;"M";56
"2016";99;"F";194
"2017";0;"M";3861
"2017";0;"F";3567
"2017";1;"M";3997
"2017";1;"F";3828
"2017";2;"M";4140
"2017";2;"F";3932
"2017";3;"M";4308
"2017";3;"F";3948
"2017";4;"M";4421
"2017";4;"F";4143
"2017";5;"M";4483
"2017";5;"F";4248
"2017";6;"M";4525
"2017";6;"F";4329
"2017";7;"M";4519
"2017";7;"F";4486
"2017";8;"M";4623
"2017";8;"F";4438
"2017";9;"M";4715
"2017";9;"F";4389
"2017";10;"M";4583
"2017";10;"F";4307
"2017";11;"M";4567
"2017";11;"F";4343
"2017";12;"M";4472
"2017";12;"F";4364
"2017";13;"M";4608
"2017";13;"F";4303
"2017";14;"M";4565
"2017";14;"F";4344
"2017";15;"M";4577
"2017";15;"F";4176
"2017";16;"M";4418
"2017";16;"F";4087
"2017";17;"M";4431
"2017";17;"F";4131
"2017";18;"M";3589
"2017";18;"F";3272
"2017";19;"M";3313
"2017";19;"F";2921
"2017";20;"M";3129
"2017";20;"F";2859
"2017";21;"M";2994
"2017";21;"F";2707
"2017";22;"M";2925
"2017";22;"F";2765
"2017";23;"M";3009
"2017";23;"F";2798
"2017";24;"M";3187
"2017";24;"F";3000
"2017";25;"M";3318
"2017";25;"F";3280
"2017";26;"M";3433
"2017";26;"F";3375
"2017";27;"M";3483
"2017";27;"F";3516
"2017";28;"M";3662
"2017";28;"F";3838
"2017";29;"M";3767
"2017";29;"F";3902
"2017";30;"M";3806
"2017";30;"F";4043
"2017";31;"M";3886
"2017";31;"F";3858
"2017";32;"M";4045
"2017";32;"F";4006
"2017";33;"M";4069
"2017";33;"F";4137
"2017";34;"M";4200
"2017";34;"F";4424
"2017";35;"M";4293
"2017";35;"F";4384
"2017";36;"M";4236
"2017";36;"F";4397
"2017";37;"M";4275
"2017";37;"F";4190
"2017";38;"M";4214
"2017";38;"F";4299
"2017";39;"M";4049
"2017";39;"F";4307
"2017";40;"M";4157
"2017";40;"F";4149
"2017";41;"M";4282
"2017";41;"F";4518
"2017";42;"M";4396
"2017";42;"F";4565
"2017";43;"M";4651
"2017";43;"F";4749
"2017";44;"M";4773
"2017";44;"F";4820
"2017";45;"M";4796
"2017";45;"F";4806
"2017";46;"M";4777
"2017";46;"F";4738
"2017";47;"M";4721
"2017";47;"F";4582
"2017";48;"M";4662
"2017";48;"F";4647
"2017";49;"M";4769
"2017";49;"F";4579
"2017";50;"M";4576
"2017";50;"F";4697
"2017";51;"M";4797
"2017";51;"F";4589
"2017";52;"M";4633
"2017";52;"F";4561
"2017";53;"M";4519
"2017";53;"F";4425
"2017";54;"M";4396
"2017";54;"F";4288
"2017";55;"M";4281
"2017";55;"F";4238
"2017";56;"M";4073
"2017";56;"F";4174
"2017";57;"M";4094
"2017";57;"F";4149
"2017";58;"M";3905
"2017";58;"F";4096
"2017";59;"M";3789
"2017";59;"F";4135
"2017";60;"M";3878
"2017";60;"F";3783
"2017";61;"M";3646
"2017";61;"F";3916
"2017";62;"M";3643
"2017";62;"F";3810
"2017";63;"M";3680
"2017";63;"F";3603
"2017";64;"M";3544
"2017";64;"F";3753
"2017";65;"M";3445
"2017";65;"F";3679
"2017";66;"M";3379
"2017";66;"F";3671
"2017";67;"M";3440
"2017";67;"F";3717
"2017";68;"M";3415
"2017";68;"F";3568
"2017";69;"M";3133
"2017";69;"F";3282
"2017";70;"M";2860
"2017";70;"F";3169
"2017";71;"M";2697
"2017";71;"F";2812
"2017";72;"M";2368
"2017";72;"F";2672
"2017";73;"M";2225
"2017";73;"F";2409
"2017";74;"M";2083
"2017";74;"F";2261
"2017";75;"M";1862
"2017";75;"F";2050
"2017";76;"M";1745
"2017";76;"F";2059
"2017";77;"M";1621
"2017";77;"F";1928
"2017";78;"M";1683
"2017";78;"F";1904
"2017";79;"M";1487
"2017";79;"F";1952
"2017";80;"M";1451
