"Code","Geographic Local Authority Code","Geographic Local Authority Name"
"ACR01","904","GLOUCESTERSHIRE COUNTY COUNCIL"
"ACT01","H6X4G","CUMBERLAND COUNCIL"
"ACV01","820","KENT COUNTY COUNCIL"
"ACW01","511","NOTTINGHAMSHIRE COUNTY COUNCIL"
"ACX01","214","EAST RIDING OF YORKSHIRE COUNCIL"
"ACX02","214","EAST RIDING OF YORKSHIRE COUNCIL"
"ACX03","214","EAST RIDING OF YORKSHIRE COUNCIL"
"ACX04","214","EAST RIDING OF YORKSHIRE COUNCIL"
"ACY01","Z9D4Z","NORTH NORTHAMPTONSHIRE COUNCIL"
"ACY02","U6Q5Z","WEST NORTHAMPTONSHIRE COUNCIL"
"ACY03","U6Q5Z","WEST NORTHAMPTONSHIRE COUNCIL"
"AD001","613","MILTON KEYNES COUNCIL"
"AD601","215","HULL CITY COUNCIL"
"AD701","713","CITY OF WESTMINSTER"
"AD702","713","CITY OF WESTMINSTER"
"AD801","620","ESSEX COUNTY COUNCIL"
"AD901","410","SOLIHULL METROPOLITAN BOROUGH COUNCIL"
"AD902","728","LONDON BOROUGH OF HOUNSLOW"
"AD903","720","LONDON BOROUGH OF BROMLEY"
"AD904","727","LONDON BOROUGH OF HILLINGDON"
"AD905","728","LONDON BOROUGH OF HOUNSLOW"
"AD906","719","LONDON BOROUGH OF BRENT"
"AD907","805","SURREY COUNTY COUNCIL"
"AD908","707","ROYAL BOROUGH OF KENSINGTON AND CHELSEA"
"AD909","728","LONDON BOROUGH OF HOUNSLOW"
"AD910","728","LONDON BOROUGH OF HOUNSLOW"
"AD911","728","LONDON BOROUGH OF HOUNSLOW"
"AD912","728","LONDON BOROUGH OF HOUNSLOW"
"AD913","720","LONDON BOROUGH OF BROMLEY"
"AD914","703","ROYAL BOROUGH OF GREENWICH"
"AD915","722","LONDON BOROUGH OF EALING"
"AD916","805","SURREY COUNTY COUNCIL"
"AD917","805","SURREY COUNTY COUNCIL"
"AD918","719","LONDON BOROUGH OF BRENT"
"AD919","727","LONDON BOROUGH OF HILLINGDON"
"AD920","805","SURREY COUNTY COUNCIL"
"AD921","606","HERTFORDSHIRE COUNTY COUNCIL"
"ADA01","326","CHESHIRE EAST COUNCIL"
"ADA02","321","HALTON BOROUGH COUNCIL"
"ADC01","916","BUCKINGHAMSHIRE COUNCIL"
"ADC02","812","HAMPSHIRE COUNTY COUNCIL"
"ADD01","413","STAFFORDSHIRE COUNTY COUNCIL"
"ADE01","613","MILTON KEYNES COUNCIL"
"ADF01","506","DERBYSHIRE COUNTY COUNCIL"
"ADF02","506","DERBYSHIRE COUNTY COUNCIL"
"ADF03","306","MANCHESTER CITY COUNCIL"
"ADG01","620","ESSEX COUNTY COUNCIL"
"ADH01","820","KENT COUNTY COUNCIL"
"ADJ01","738","BCP COUNCIL"
"ADK01","606","HERTFORDSHIRE COUNTY COUNCIL"
"ADK02","625","BEDFORD BOROUGH COUNCIL"
"ADK03","625","BEDFORD BOROUGH COUNCIL"
"ADK04","625","BEDFORD BOROUGH COUNCIL"
"ADK05","611","LUTON BOROUGH COUNCIL"
"ADK06","626","CENTRAL BEDFORDSHIRE COUNCIL"
"ADK07","626","CENTRAL BEDFORDSHIRE COUNCIL"
"ADK08","606","HERTFORDSHIRE COUNTY COUNCIL"
"ADK09","606","HERTFORDSHIRE COUNTY COUNCIL"
"ADK10","626","CENTRAL BEDFORDSHIRE COUNCIL"
"ADM01","215","HULL CITY COUNCIL"
"ADN02","512","NOTTINGHAM CITY COUNCIL"
"ADP02","820","KENT COUNTY COUNCIL"
"ADP03","820","KENT COUNTY COUNCIL"
"ADP04","820","KENT COUNTY COUNCIL"
"ADP05","820","KENT COUNTY COUNCIL"
"ADP06","820","KENT COUNTY COUNCIL"
"ADP07","820","KENT COUNTY COUNCIL"
"ADP08","820","KENT COUNTY COUNCIL"
"ADP09","820","KENT COUNTY COUNCIL"
"ADP10","821","MEDWAY COUNCIL"
"ADP11","821","MEDWAY COUNCIL"
"ADP12","820","KENT COUNTY COUNCIL"
"ADP13","820","KENT COUNTY COUNCIL"
"ADQ01","716","LONDON BOROUGH OF BARKING AND DAGENHAM"
"ADQ02","732","LONDON BOROUGH OF REDBRIDGE"
"ADT01","710","LONDON BOROUGH OF SOUTHWARK"
"ADV01","416","WORCESTERSHIRE COUNTY COUNCIL"
"ADV02","416","WORCESTERSHIRE COUNTY COUNCIL"
"ADW01","732","LONDON BOROUGH OF REDBRIDGE"
"ADW02","732","LONDON BOROUGH OF REDBRIDGE"
"ADW03","728","LONDON BOROUGH OF HOUNSLOW"
"ADW04","902","CORNWALL COUNCIL"
"ADW05","805","SURREY COUNTY COUNCIL"
"ADW06","620","ESSEX COUNTY COUNCIL"
"ADW07","620","ESSEX COUNTY COUNCIL"
"ADW08","622","THURROCK COUNCIL"
"ADW09","620","ESSEX COUNTY COUNCIL"
"ADW10","620","ESSEX COUNTY COUNCIL"
"ADW11","621","SOUTHEND-ON-SEA BOROUGH COUNCIL"
"ADX01","212","LEEDS CITY COUNCIL"
"ADX02","210","CALDERDALE METROPOLITAN BOROUGH COUNCIL"
"ADY01","323","LANCASHIRE COUNTY COUNCIL"
"AE001","820","KENT COUNTY COUNCIL"
"AE401","606","HERTFORDSHIRE COUNTY COUNCIL"
"AE501","511","NOTTINGHAMSHIRE COUNTY COUNCIL"
"AE502","511","NOTTINGHAMSHIRE COUNTY COUNCIL"
"AE503","512","NOTTINGHAM CITY COUNCIL"
"AE504","508","LEICESTERSHIRE COUNTY COUNCIL"
"AE701","726","LONDON BOROUGH OF HAVERING"
"AE801","816","BRIGHTON AND HOVE CITY COUNCIL"
"AE901","812","HAMPSHIRE COUNTY COUNCIL"
"AEA01","618","ROYAL BOROUGH OF WINDSOR AND MAIDENHEAD"
"AEA02","608","OXFORDSHIRE COUNTY COUNCIL"
"AEC01","713","CITY OF WESTMINSTER"
"AEC02","713","CITY OF WESTMINSTER"
"AED01","706","LONDON BOROUGH OF ISLINGTON"
"AEE01","H6X4G","CUMBERLAND COUNCIL"
"AEE02","H6X4G","CUMBERLAND COUNCIL"
"AEF01","413","STAFFORDSHIRE COUNTY COUNCIL"
"AEF02","413","STAFFORDSHIRE COUNTY COUNCIL"
"AEG01","710","LONDON BOROUGH OF SOUTHWARK"
"AEG02","710","LONDON BOROUGH OF SOUTHWARK"
"AEH01","722","LONDON BOROUGH OF EALING"
"AEK01","706","LONDON BOROUGH OF ISLINGTON"
"AEL01","820","KENT COUNTY COUNCIL"
"AEL02","820","KENT COUNTY COUNCIL"
"AEM01","820","KENT COUNTY COUNCIL"
"AEN01","607","NORFOLK COUNTY COUNCIL"
"AEP01","706","LONDON BOROUGH OF ISLINGTON"
"AEQ01","313","WIGAN METROPOLITAN BOROUGH COUNCIL"
"AER01","805","SURREY COUNTY COUNCIL"
"AEW01","710","LONDON BOROUGH OF SOUTHWARK"
"AEW02","710","LONDON BOROUGH OF SOUTHWARK"
"AEW03","710","LONDON BOROUGH OF SOUTHWARK"
"AEX01","905","SOMERSET COUNCIL"
"AEY01","413","STAFFORDSHIRE COUNTY COUNCIL"
"AEY02","413","STAFFORDSHIRE COUNTY COUNCIL"
"AEY03","114","STOCKTON-ON-TEES BOROUGH COUNCIL"
"AEY04","114","STOCKTON-ON-TEES BOROUGH COUNCIL"
"AF001","707","ROYAL BOROUGH OF KENSINGTON AND CHELSEA"
"AF002","721","LONDON BOROUGH OF CROYDON"
"AF003","721","LONDON BOROUGH OF CROYDON"
"AF004","731","LONDON BOROUGH OF NEWHAM"
"AF005","721","LONDON BOROUGH OF CROYDON"
"AF006","702","LONDON BOROUGH OF CAMDEN"
"AF007","719","LONDON BOROUGH OF BRENT"
"AF008","702","LONDON BOROUGH OF CAMDEN"
"AF009","702","LONDON BOROUGH OF CAMDEN"
"AF201","706","LONDON BOROUGH OF ISLINGTON"
"AF301","706","LONDON BOROUGH OF ISLINGTON"
"AF501","706","LONDON BOROUGH OF ISLINGTON"
"AF801","706","LONDON BOROUGH OF ISLINGTON"
"AF901","706","LONDON BOROUGH OF ISLINGTON"
"AFA01","706","LONDON BOROUGH OF ISLINGTON"
"AFD01","323","LANCASHIRE COUNTY COUNCIL"
"AFD02","323","LANCASHIRE COUNTY COUNCIL"
"AFD03","323","LANCASHIRE COUNTY COUNCIL"
"AFD04","323","LANCASHIRE COUNTY COUNCIL"
"AFD05","323","LANCASHIRE COUNTY COUNCIL"
"AFD06","304","BOLTON METROPOLITAN BOROUGH COUNCIL"
"AFD07","304","BOLTON METROPOLITAN BOROUGH COUNCIL"
"AFD08","323","LANCASHIRE COUNTY COUNCIL"
"AFD09","323","LANCASHIRE COUNTY COUNCIL"
"AFD0A","323","LANCASHIRE COUNTY COUNCIL"
"AFD0C","323","LANCASHIRE COUNTY COUNCIL"
"AFD10","323","LANCASHIRE COUNTY COUNCIL"
"AFD11","323","LANCASHIRE COUNTY COUNCIL"
"AFD12","323","LANCASHIRE COUNTY COUNCIL"
"AFD13","323","LANCASHIRE COUNTY COUNCIL"
"AFD14","323","LANCASHIRE COUNTY COUNCIL"
"AFD15","323","LANCASHIRE COUNTY COUNCIL"
"AFD16","323","LANCASHIRE COUNTY COUNCIL"
"AFD17","323","LANCASHIRE COUNTY COUNCIL"
"AFD18","323","LANCASHIRE COUNTY COUNCIL"
"AFD19","323","LANCASHIRE COUNTY COUNCIL"
"AFD20","323","LANCASHIRE COUNTY COUNCIL"
"AFD21","323","LANCASHIRE COUNTY COUNCIL"
"AFD22","323","LANCASHIRE COUNTY COUNCIL"
"AFD23","323","LANCASHIRE COUNTY COUNCIL"
"AFD24","323","LANCASHIRE COUNTY COUNCIL"
"AFD25","323","LANCASHIRE COUNTY COUNCIL"
"AFD26","323","LANCASHIRE COUNTY COUNCIL"
"AFD27","323","LANCASHIRE COUNTY COUNCIL"
"AFD28","323","LANCASHIRE COUNTY COUNCIL"
"AFD29","323","LANCASHIRE COUNTY COUNCIL"
"AFD30","323","LANCASHIRE COUNTY COUNCIL"
"AFD31","323","LANCASHIRE COUNTY COUNCIL"
"AFD32","323","LANCASHIRE COUNTY COUNCIL"
"AFD33","323","LANCASHIRE COUNTY COUNCIL"
"AFD34","323","LANCASHIRE COUNTY COUNCIL"
"AFD35","323","LANCASHIRE COUNTY COUNCIL"
"AFD36","323","LANCASHIRE COUNTY COUNCIL"
"AFD37","323","LANCASHIRE COUNTY COUNCIL"
"AFD38","323","LANCASHIRE COUNTY COUNCIL"
"AFE01","706","LONDON BOROUGH OF ISLINGTON"
"AFF01","706","LONDON BOROUGH OF ISLINGTON"
"AFG01","706","LONDON BOROUGH OF ISLINGTON"
"AFP04","307","OLDHAM METROPOLITAN BOROUGH COUNCIL"
"AFW01","306","MANCHESTER CITY COUNCIL"
"AFX01","613","MILTON KEYNES COUNCIL"
"AFX02","821","MEDWAY COUNCIL"
"AFY01","509","LEICESTER CITY COUNCIL"
"AG101","607","NORFOLK COUNTY COUNCIL"
"AG201","306","MANCHESTER CITY COUNCIL"
"AG202","316","LIVERPOOL CITY COUNCIL"
"AG203","316","LIVERPOOL CITY COUNCIL"
"AG204","316","LIVERPOOL CITY COUNCIL"
"AG205","317","SEFTON METROPOLITAN BOROUGH COUNCIL"
"AG206","216","NORTH EAST LINCOLNSHIRE COUNCIL"
"AG207","216","NORTH EAST LINCOLNSHIRE COUNCIL"
"AG301","503","LINCOLNSHIRE COUNTY COUNCIL"
"AG601","708","LONDON BOROUGH OF LAMBETH"
"AG701","209","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"AG801","410","SOLIHULL METROPOLITAN BOROUGH COUNCIL"
"AG802","415","HEREFORDSHIRE COUNCIL"
"AG803","415","HEREFORDSHIRE COUNCIL"
"AG804","416","WORCESTERSHIRE COUNTY COUNCIL"
"AG901","503","LINCOLNSHIRE COUNTY COUNCIL"
"AGA01","209","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"AGA02","209","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"AGA04","212","LEEDS CITY COUNCIL"
"AGA05","212","LEEDS CITY COUNCIL"
"AGA06","212","LEEDS CITY COUNCIL"
"AGA07","212","LEEDS CITY COUNCIL"
"AGA08","212","LEEDS CITY COUNCIL"
"AGA09","212","LEEDS CITY COUNCIL"
"AGA12","212","LEEDS CITY COUNCIL"
"AGA13","209","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"AGA14","209","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"AGA15","218","NORTH YORKSHIRE COUNCIL"
"AGA16","212","LEEDS CITY COUNCIL"
"AGA18","209","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"AGA19","209","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"AGA20","209","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"AGA21","209","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"AGA22","209","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"AGA23","209","CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL"
"AGC01","905","SOMERSET COUNCIL"
"AGC02","905","SOMERSET COUNCIL"
"AGC03","616","READING BOROUGH COUNCIL"
"AGD01","319","WIRRAL BOROUGH COUNCIL"
"AGF01","713","CITY OF WESTMINSTER"
"AGF02","713","CITY OF WESTMINSTER"
"AGF03","406","BIRMINGHAM CITY COUNCIL"
"AGF04","608","OXFORDSHIRE COUNTY COUNCIL"
"AGF05","512","NOTTINGHAM CITY COUNCIL"
"AGG01","706","LONDON BOROUGH OF ISLINGTON"
"AGH01","215","HULL CITY COUNCIL"
"AGJ01","326","CHESHIRE EAST COUNCIL"
"AGK01","Z9D4Z","NORTH NORTHAMPTONSHIRE COUNCIL"
"AGL01","406","BIRMINGHAM CITY COUNCIL"
"AGM01","820","KENT COUNTY COUNCIL"
"AGM02","718","LONDON BOROUGH OF BEXLEY"
"AGM03","805","SURREY COUNTY COUNCIL"
"AGN01","218","NORTH YORKSHIRE COUNCIL"
"AGP01","914","TORBAY COUNCIL"
"AGQ01","512","NOTTINGHAM CITY COUNCIL"
"AGQ02","511","NOTTINGHAMSHIRE COUNTY COUNCIL"
"AGT01","306","MANCHESTER CITY COUNCIL"
"AGW01","723","LONDON BOROUGH OF ENFIELD"
"AGX01","911","SOUTH GLOUCESTERSHIRE COUNCIL"
"AGY01","805","SURREY COUNTY COUNCIL"
"AH001","218","NORTH YORKSHIRE COUNCIL"
"AH002","219","CITY OF YORK COUNCIL"
"AH501","620","ESSEX COUNTY COUNCIL"
"AH601","703","ROYAL BOROUGH OF GREENWICH"
"AH602","718","LONDON BOROUGH OF BEXLEY"
"AH603","718","LONDON BOROUGH OF BEXLEY"
"AH801","418","TELFORD & WREKIN COUNCIL"
"AH901","507","DERBY CITY COUNCIL"
"AH902","508","LEICESTERSHIRE COUNTY COUNCIL"
"AHA01","503","LINCOLNSHIRE COUNTY COUNCIL"
"AHC01","812","HAMPSHIRE COUNTY COUNCIL"
"AHC02","812","HAMPSHIRE COUNTY COUNCIL"
"AHC03","814","SOUTHAMPTON CITY COUNCIL"
"AHC04","413","STAFFORDSHIRE COUNTY COUNCIL"
"AHC05","606","HERTFORDSHIRE COUNTY COUNCIL"
"AHC06","511","NOTTINGHAMSHIRE COUNTY COUNCIL"
"AHC07","805","SURREY COUNTY COUNCIL"
"AHC08","613","MILTON KEYNES COUNCIL"
"AHC09","608","OXFORDSHIRE COUNTY COUNCIL"
"AHD01","308","ROCHDALE METROPOLITAN BOROUGH COUNCIL"
"AHE01","321","HALTON BOROUGH COUNCIL"
"AHF01","212","LEEDS CITY COUNCIL"
"AHG01","106","GATESHEAD METROPOLITAN BOROUGH COUNCIL"
"AHH01","608","OXFORDSHIRE COUNTY COUNCIL"
"AHJ01","706","LONDON BOROUGH OF ISLINGTON"
"AHK01","412","CITY OF WOLVERHAMPTON COUNCIL"
"AHK02","411","WALSALL METROPOLITAN BOROUGH COUNCIL"
"AHK03","411","WALSALL METROPOLITAN BOROUGH COUNCIL"
"AHK04","404","WARWICKSHIRE COUNTY COUNCIL"
"AHK05","404","WARWICKSHIRE COUNTY COUNCIL"
"AHK06","407","COVENTRY CITY COUNCIL"
"AHL01","212","LEEDS CITY COUNCIL"
"AHL02","712","LONDON BOROUGH OF WANDSWORTH"
"AHL03","721","LONDON BOROUGH OF CROYDON"
"AHL04","509","LEICESTER CITY COUNCIL"
"AHM01","620","ESSEX COUNTY COUNCIL"
"AHM02","620","ESSEX COUNTY COUNCIL"
"AHN01","306","MANCHESTER CITY COUNCIL"
"AHN02","306","MANCHESTER CITY COUNCIL"
"AHP01","417","SHROPSHIRE COUNCIL"
"AHP02","417","SHROPSHIRE COUNCIL"
"AHP03","418","TELFORD & WREKIN COUNCIL"
"AHQ01","723","LONDON BOROUGH OF ENFIELD"
"AHQ02","724","LONDON BOROUGH OF HARINGEY"
"AHQ03","703","ROYAL BOROUGH OF GREENWICH"
"AHQ04","724","LONDON BOROUGH OF HARINGEY"
"AHQ05","620","ESSEX COUNTY COUNCIL"
"AHQ06","731","LONDON BOROUGH OF NEWHAM"
"AHR01","713","CITY OF WESTMINSTER"
"AHT01","213","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"AHV01","719","LONDON BOROUGH OF BRENT"
"AHV02","719","LONDON BOROUGH OF BRENT"
"AHW01","713","CITY OF WESTMINSTER"
"AHW02","620","ESSEX COUNTY COUNCIL"
"AHX01","052","CARDIFF UA"
"AHX02","052","CARDIFF UA"
"AHX03","050","NEWPORT UA"
"AHY01","815","EAST SUSSEX COUNTY COUNCIL"
"AHY02","721","LONDON BOROUGH OF CROYDON"
"AHY03","820","KENT COUNTY COUNCIL"
"AHY04","720","LONDON BOROUGH OF BROMLEY"
"AJ001","404","WARWICKSHIRE COUNTY COUNCIL"
"AJ201","905","SOMERSET COUNCIL"
"AJ301","905","SOMERSET COUNCIL"
"AJ401","416","WORCESTERSHIRE COUNTY COUNCIL"
"AJ402","416","WORCESTERSHIRE COUNTY COUNCIL"
"AJ601","116","DURHAM COUNTY COUNCIL"
"AJ602","218","NORTH YORKSHIRE COUNCIL"
"AJ603","218","NORTH YORKSHIRE COUNCIL"
"AJ604","218","NORTH YORKSHIRE COUNCIL"
"AJ605","218","NORTH YORKSHIRE COUNCIL"
"AJ606","210","CALDERDALE METROPOLITAN BOROUGH COUNCIL"
"AJ607","210","CALDERDALE METROPOLITAN BOROUGH COUNCIL"
"AJ608","212","LEEDS CITY COUNCIL"
"AJ609","212","LEEDS CITY COUNCIL"
"AJ60A","204","BARNSLEY METROPOLITAN BOROUGH COUNCIL"
"AJ60B","109","SOUTH TYNESIDE COUNCIL"
"AJ60C","204","BARNSLEY METROPOLITAN BOROUGH COUNCIL"
"AJ60D","204","BARNSLEY METROPOLITAN BOROUGH COUNCIL"
"AJ60E","413","STAFFORDSHIRE COUNTY COUNCIL"
"AJ60F","413","STAFFORDSHIRE COUNTY COUNCIL"
"AJ60G","413","STAFFORDSHIRE COUNTY COUNCIL"
"AJ60H","413","STAFFORDSHIRE COUNTY COUNCIL"
"AJ60I","413","STAFFORDSHIRE COUNTY COUNCIL"
"AJ610","212","LEEDS CITY COUNCIL"
"AJ611","212","LEEDS CITY COUNCIL"
"AJ612","218","NORTH YORKSHIRE COUNCIL"
"AJ613","204","BARNSLEY METROPOLITAN BOROUGH COUNCIL"
"AJ614","109","SOUTH TYNESIDE COUNCIL"
"AJ701","725","LONDON BOROUGH OF HARROW"
"AJ801","213","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"AJ802","212","LEEDS CITY COUNCIL"
"AJ803","212","LEEDS CITY COUNCIL"
"AJ804","212","LEEDS CITY COUNCIL"
"AJ805","213","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"AJ806","213","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"AJ807","213","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"AJ808","213","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"AJ809","213","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"AJ810","213","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"AJ8A1","213","WAKEFIELD METROPOLITAN DISTRICT COUNCIL"
"AJ901","724","LONDON BOROUGH OF HARINGEY"
"AJA01","820","KENT COUNTY COUNCIL"
"AJC01","606","HERTFORDSHIRE COUNTY COUNCIL"
"AJD01","309","SALFORD CITY COUNCIL"
"AJD02","305","BURY METROPOLITAN BOROUGH COUNCIL"
"AJD03","323","LANCASHIRE COUNTY COUNCIL"
"AJE01","325","BLACKPOOL BOROUGH COUNCIL"
"AJE02","018","DENBIGHSHIRE UA"
"AJE03","022","WREXHAM UA"
"AJF01","815","EAST SUSSEX COUNTY COUNCIL"
"AJG01","617","SLOUGH BOROUGH COUNCIL"
"AJH01","607","NORFOLK COUNTY COUNCIL"
"AJH02","607","NORFOLK COUNTY COUNCIL"
"AJH03","607","NORFOLK COUNTY COUNCIL"
"AJH04","607","NORFOLK COUNTY COUNCIL"
"AJH05","607","NORFOLK COUNTY COUNCIL"
"AJJ01","707","ROYAL BOROUGH OF KENSINGTON AND CHELSEA"
"AJJ02","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AJK01","623","CAMBRIDGESHIRE COUNTY COUNCIL"
"AJL01","508","LEICESTERSHIRE COUNTY COUNCIL"
"AJL02","404","WARWICKSHIRE COUNTY COUNCIL"
"AJL03","404","WARWICKSHIRE COUNTY COUNCIL"
"AJL04","404","WARWICKSHIRE COUNTY COUNCIL"
"AJL05","404","WARWICKSHIRE COUNTY COUNCIL"
"AJL06","404","WARWICKSHIRE COUNTY COUNCIL"
"AJL07","404","WARWICKSHIRE COUNTY COUNCIL"
"AJL08","404","WARWICKSHIRE COUNTY COUNCIL"
"AJL09","404","WARWICKSHIRE COUNTY COUNCIL"
"AJL10","404","WARWICKSHIRE COUNTY COUNCIL"
"AJL11","404","WARWICKSHIRE COUNTY COUNCIL"
"AJL12","404","WARWICKSHIRE COUNTY COUNCIL"
"AJL13","404","WARWICKSHIRE COUNTY COUNCIL"
"AJL14","404","WARWICKSHIRE COUNTY COUNCIL"
"AJL15","404","WARWICKSHIRE COUNTY COUNCIL"
"AJL16","404","WARWICKSHIRE COUNTY COUNCIL"
"AJL17","404","WARWICKSHIRE COUNTY COUNCIL"
"AJL18","404","WARWICKSHIRE COUNTY COUNCIL"
"AJM01","702","LONDON BOROUGH OF CAMDEN"
"AJN01","H6X4G","CUMBERLAND COUNCIL"
"AJP01","509","LEICESTER CITY COUNCIL"
"AJQ01","508","LEICESTERSHIRE COUNTY COUNCIL"
"AJR01","607","NORFOLK COUNTY COUNCIL"
"AJT01","508","LEICESTERSHIRE COUNTY COUNCIL"
"AJV01","726","LONDON BOROUGH OF HAVERING"
"AJV02","620","ESSEX COUNTY COUNCIL"
"AJV03","620","ESSEX COUNTY COUNCIL"
"AJV04","620","ESSEX COUNTY COUNCIL"
"AJW01","620","ESSEX COUNTY COUNCIL"
"AJX01","807","WEST SUSSEX COUNTY COUNCIL"
"AJX02","815","EAST SUSSEX COUNTY COUNCIL"
"AJY01","735","LONDON BOROUGH OF WALTHAM FOREST"
"AJY02","735","LONDON BOROUGH OF WALTHAM FOREST"
"AJY03","735","LONDON BOROUGH OF WALTHAM FOREST"
"AK001","916","BUCKINGHAMSHIRE COUNCIL"
"AK501","606","HERTFORDSHIRE COUNTY COUNCIL"
"AK502","606","HERTFORDSHIRE COUNTY COUNCIL"
"AK601","216","NORTH EAST LINCOLNSHIRE COUNCIL"
"AK602","216","NORTH EAST LINCOLNSHIRE COUNCIL"
"AK603","216","NORTH EAST LINCOLNSHIRE COUNCIL"
"AK604","216","NORTH EAST LINCOLNSHIRE COUNCIL"
"AK605","216","NORTH EAST LINCOLNSHIRE COUNCIL"
"AK801","109","SOUTH TYNESIDE COUNCIL"
"AK901","606","HERTFORDSHIRE COUNTY COUNCIL"
"AK902","606","HERTFORDSHIRE COUNTY COUNCIL"
"AKA01","909","BRISTOL CITY COUNCIL"
"AKC01","214","EAST RIDING OF YORKSHIRE COUNCIL"
"AKC02","215","HULL CITY COUNCIL"
"AKD01","406","BIRMINGHAM CITY COUNCIL"
"AKE01","609","SUFFOLK COUNTY COUNCIL"
"AKF01","311","TAMESIDE METROPOLITAN BOROUGH COUNCIL"
"AKG01","728","LONDON BOROUGH OF HOUNSLOW"
"AKG02","728","LONDON BOROUGH OF HOUNSLOW"
"AKG03","728","LONDON BOROUGH OF HOUNSLOW"
"AKG04","728","LONDON BOROUGH OF HOUNSLOW"
"AKG05","728","LONDON BOROUGH OF HOUNSLOW"
"AKG06","728","LONDON BOROUGH OF HOUNSLOW"
"AKH01","728","LONDON BOROUGH OF HOUNSLOW"
"AKH02","728","LONDON BOROUGH OF HOUNSLOW"
"AKH03","728","LONDON BOROUGH OF HOUNSLOW"
"AKH04","728","LONDON BOROUGH OF HOUNSLOW"
"AKH05","728","LONDON BOROUGH OF HOUNSLOW"
"AKH06","728","LONDON BOROUGH OF HOUNSLOW"
"AKH07","728","LONDON BOROUGH OF HOUNSLOW"
"AKH08","728","LONDON BOROUGH OF HOUNSLOW"
"AKH09","728","LONDON BOROUGH OF HOUNSLOW"
"AKH10","728","LONDON BOROUGH OF HOUNSLOW"
"AKH11","728","LONDON BOROUGH OF HOUNSLOW"
"AKJ01","728","LONDON BOROUGH OF HOUNSLOW"
"AKJ02","733","LONDON BOROUGH OF RICHMOND UPON THAMES"
"AKJ03","728","LONDON BOROUGH OF HOUNSLOW"
"AKJ04","728","LONDON BOROUGH OF HOUNSLOW"
"AKJ05","733","LONDON BOROUGH OF RICHMOND UPON THAMES"
"AKJ06","728","LONDON BOROUGH OF HOUNSLOW"
"AKK01","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK02","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK03","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK04","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK05","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK06","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK07","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK08","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK09","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK10","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK11","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK12","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK13","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK14","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK15","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK16","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK17","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK18","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK19","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK20","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK21","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK22","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK23","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK24","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK25","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
"AKK26","705","LONDON BOROUGH OF HAMMERSMITH & FULHAM"
